miRNA Family	Manakov2022	Hejret2023	Klimentova2022
miR-4698	0	1	0
miR-6831-3p	1	0	0
miR-10396b-5p	0	1	0
mir-1324	0	1	0
miR-4480	1	0	0
miR-3924	0	1	0
miR-6126	1	0	0
miR-4274	0	1	0
miR-3921	1	0	0
mir-4428	0	1	0
miR-3682-5p	1	0	0
miR-3186-3p	0	1	0
miR-3133	1	0	0
miR-4299	1	0	0
miR-10523-5p	0	1	0
mir-637	1	0	0
miR-4712-3p	1	0	0
miR-4762-5p	1	0	0
miR-5588-3p	1	0	0
miR-6861-3p	1	0	0
miR-6777-3p	0	1	0
miR-4790-3p	0	1	0
miR-5100	1	0	0
miR-5706	0	1	0
miR-5691	0	0	1
miR-4251	1	0	0
miR-6739-5p	0	1	0
mir-645	0	1	0
miR-7853-5p	0	1	0
miR-6836-5p	1	0	0
miR-6771-5p	0	1	0
miR-7162-3p	1	0	0
mir-1323	1	0	0
mir-4477	1	0	0
miR-4801	1	0	0
miR-4690-5p	1	0	0
miR-7158-3p	0	1	0
mir-3129	0	1	0
miR-4691-3p	1	0	0
miR-4673	0	0	1
mir-433	0	1	0
miR-6753-3p	1	0	0
miR-4447	0	1	0
miR-4256	0	1	0
miR-6828-3p	1	0	0
miR-4487	0	1	0
miR-520e-5p	0	0	1
miR-6754-5p	1	0	0
miR-4797-5p	1	0	0
miR-4694-3p	0	1	0
miR-7161-5p	1	0	0
miR-6888-5p	1	0	0
miR-4753-5p	1	0	0
mir-373	1	0	0
miR-6731-3p	1	0	0
miR-5189-3p	0	0	1
miR-8065	0	1	0
miR-4538	0	1	0
miR-6846-5p	1	0	0
miR-6831-5p	1	0	0
miR-5571-5p	0	1	0
mir-6134	1	0	0
miR-5011-3p	1	0	0
mir-1178	1	0	0
mir-761	1	0	0
miR-4329	0	1	0
miR-6815-3p	0	1	0
miR-6853-3p	1	0	0
miR-6868-3p	1	0	0
miR-4668-3p	1	0	0
miR-6854-5p	1	0	0
miR-3184-3p	1	0	0
miR-5579-3p	1	0	0
miR-4757-3p	0	0	1
mir-4529	0	1	0
miR-7152-3p	1	0	0
miR-4704-3p	1	0	0
miR-7108-3p	0	1	0
miR-6835-5p	1	0	0
miR-3667-5p	0	1	0
miR-6883-5p	0	1	0
mir-370	0	1	0
mir-573	0	1	0
miR-4420	1	0	0
miR-8066	0	1	0
miR-6886-5p	1	0	0
miR-4311	0	1	0
miR-4795-5p	1	0	0
miR-5695	1	0	0
miR-4678	1	0	0
mir-205	0	1	0
mir-608	0	1	0
miR-5694	0	1	0
miR-4705	0	1	0
miR-4478	1	0	0
mir-3923	0	1	0
miR-3675-3p	0	1	0
miR-2052	0	1	0
miR-6078	0	1	0
miR-6823-5p	1	0	0
miR-6732-3p	0	1	0
miR-6507-3p	1	0	0
miR-4682	1	0	0
miR-6765-5p	0	1	0
miR-6801-3p	0	1	0
miR-6512-3p	1	0	0
mir-569	1	0	0
miR-6507-5p	0	1	0
miR-4684-3p	1	0	0
miR-4736	0	1	0
mir-4650	1	0	0
miR-5088-5p	0	1	0
miR-3975	1	0	0
miR-6073	1	0	0
miR-6867-3p	1	0	0
miR-6728-5p	1	0	0
miR-10398-5p	1	0	0
miR-4462	1	0	0
miR-4719	0	1	0
miR-10396a-3p	0	0	1
miR-4460	0	1	0
miR-6850-5p	1	0	0
miR-3918	1	0	0
miR-4787-5p	0	1	0
miR-4458	1	0	0
miR-4752	1	0	0
miR-3978	0	1	0
miR-8057	1	0	0
miR-6810-3p	0	1	0
miR-3972	0	1	0
mir-4774	0	0	1
miR-6856-3p	1	0	0
miR-4648	1	0	0
miR-3171	1	0	0
miR-5591-5p	1	0	0
miR-4476	0	0	1
miR-3646	1	0	0
miR-4278	0	1	0
mir-3165	1	0	0
mir-1183	1	0	0
miR-3655	1	0	0
miR-12123	0	1	0
mir-6129	1	0	0
miR-3977	0	1	0
miR-3162-5p	1	0	0
mir-3937	1	0	0
miR-4448	1	0	0
miR-6751-5p	1	0	0
miR-8074	0	1	0
miR-3668	0	1	0
mir-1265	0	1	0
miR-4495	0	1	0
miR-6529-5p	0	1	0
miR-6772-3p	1	0	0
mir-1911	0	1	0
miR-3183	0	1	0
miR-4693-3p	0	0	1
miR-3941	1	0	0
mir-299	0	1	0
mir-136	0	1	0
miR-6503-5p	0	1	0
miR-4727-5p	0	1	0
miR-6786-3p	1	0	0
miR-6788-5p	1	0	0
miR-6806-5p	1	0	0
miR-4670-3p	0	1	0
miR-4725-3p	0	1	0
mir-485	1	0	0
miR-4445-5p	1	0	0
cli-miR-135-2-3p	0	1	0
miR-4795-3p	0	1	0
mir-759	0	1	0
miR-6075	0	1	0
miR-2681-3p	0	1	0
miR-6796-5p	1	0	0
miR-6828-5p	0	1	0
miR-3152-5p	1	0	0
miR-6872-3p	0	1	0
miR-6887-5p	1	0	0
miR-6764-5p	1	0	0
miR-4259	1	0	0
miR-6866-5p	0	1	0
mir-601	1	0	0
mir-337	0	1	0
miR-1912-5p	0	1	0
miR-4489	0	1	0
miR-4781-5p	1	0	0
miR-6736-3p	1	0	0
miR-6795-5p	0	1	0
miR-4661-3p	0	1	0
miR-12133	1	0	0
miR-6784-5p	0	1	0
miR-7154-3p	0	1	0
miR-4327	0	1	0
miR-11181-3p	0	1	0
miR-6716-5p	0	1	0
miR-4531	1	0	0
miR-3974	0	1	0
miR-1539	1	0	0
miR-6857-5p	1	0	0
miR-5693	1	0	0
mir-614	0	1	0
miR-4298	0	1	0
miR-5195-3p	1	0	0
miR-10398-3p	1	0	0
miR-5186	1	0	0
miR-6813-3p	0	1	0
miR-5571-3p	1	0	0
miR-5705	0	1	0
mir-1205	0	1	0
miR-7155-3p	0	1	0
miR-4783-5p	0	1	0
miR-4318	1	0	0
miR-4640-5p	1	0	0
miR-6717-5p	1	0	0
miR-4454	0	1	0
miR-12117	0	1	0
miR-4330	1	0	0
miR-5187-5p	1	0	0
miR-6755-5p	1	0	0
miR-10401-5p	0	1	0
miR-6819-5p	0	1	0
miR-5197-3p	1	0	0
miR-6736-5p	1	0	0
miR-11400	1	0	0
mir-924	1	0	0
miR-4475	1	0	0
miR-10392-5p	1	0	0
miR-7515	0	1	0
miR-6789-3p	1	0	0
mir-4524	0	1	0
miR-5187-3p	1	0	0
miR-4422	0	1	0
miR-5092	0	1	0
miR-3929	1	0	0
miR-6746-5p	1	0	0
miR-6506-3p	0	0	1
miR-5688	1	0	0
miR-4741	1	0	0
miR-11399	0	1	0
miR-3685	1	0	0
miR-6730-3p	1	0	0
miR-7151-5p	0	1	0
mir-662	1	0	0
mir-3910	0	1	0
mir-1263	0	1	0
mir-384	1	0	0
miR-4717-5p	1	0	0
miR-4418	1	0	0
miR-4670-5p	1	0	0
miR-1295b-3p	0	1	0
miR-8075	0	1	0
miR-6866-3p	1	0	0
miR-6838-5p	1	0	0
miR-6782-5p	0	1	0
miR-6743-3p	0	1	0
miR-4511	0	1	0
mir-4515	1	0	0
mir-718	1	0	0
miR-12129	1	0	0
miR-3189-3p	1	0	0
mir-670	1	0	0
miR-6845-5p	1	0	0
mir-607	1	0	0
mir-1206	0	1	0
miR-3713	0	1	0
